latitude,longitude,wpd_median,color_wpd_median,ghi_median,color_ghi_median,wpd_mean,color_wpd_mean,ghi_mean,color_ghi_mean,wpd_availability,color_wpd_availability,ghi_availability,color_ghi_availability,wss,color_wss,scw,color_scw,wcs,color_wcs,wind_ep_length,color_wind_ep_length,solar_ep_length,color_solar_ep_length,solar_ep_lull,color_solar_ep_lull,wind_ep_lull,color_wind_ep_lull
12.6,77.4,41.370888,45,534.55273,510,104.54588,105,518.12225,510,11.02739726,20,79.20496324,80,35.51369863,40,34.22374429,40,1.289954338,2,6.272727273,7,9.420765027,10,5.319672131,3,50.27741935,45
12.6,77.52,44.266876,45,537.5,510,102.364044,105,519.6383,510,10.66210046,20,79.20974041,80,35.53652968,40,34.31506849,40,1.221461187,2,6.226666667,7,9.372282609,10,5.303814714,3,51.82119205,45
12.6,77.64,62.417313,75,531.03064,510,121.47813,135,518.268,510,13.37899543,20,79.22794118,80,35.14840183,40,33.84703196,40,1.301369863,2,6.01025641,7,9.344173442,10,5.297959184,3,38.70918367,45
12.6,77.76,91.04054,105,526.3176,510,165.31984,165,516.3615,510,19.96575342,20,78.78787879,80,33.61872146,40,31.70091324,40,1.917808219,2,7.257261411,7,9.37704918,10,5.341530055,3,28.96694215,15
12.6,77.88,89.03583,75,526.4213,510,199.26364,195,516.2118,510,23.66438356,30,78.80247763,80,33.19634703,40,30.83333333,40,2.363013699,2,9.509174312,10,9.36239782,10,5.328785812,3,30.52968037,45
12.6,78,69.93419,75,524.1287,510,194.70253,195,513.6602,510,23.47031963,30,78.61072902,80,33.60730594,40,31.09589041,40,2.511415525,5,10.70833333,10,9.37431694,10,5.342896175,3,34.73056995,45
12.6,78.12,58.434727,45,518.5,510,161.7305,165,510.7619,510,21.51826484,30,78.80870561,80,34.15525114,40,31.79223744,40,2.363013699,2,8.568181818,7,9.401639344,10,5.329234973,3,31.1040724,45
12.6,78.24,55.811985,45,524.7698,510,139.8277,135,512.11884,510,18.33333333,20,78.91000687,80,34.28082192,40,32.15753425,40,2.123287671,2,6.663900415,7,9.389645777,10,5.315143247,3,29.55785124,15
12.6,78.36,54.311295,45,524.5,510,131.60915,135,512.55743,510,16.06164384,20,79.08841044,80,34.28082192,40,32.51141553,40,1.769406393,2,6.30941704,7,9.411444142,10,5.304229195,3,32.82142857,45
12.6,78.48,36.97244,45,520.16675,510,106.79419,105,510.99606,510,12.8652968,20,79.11233127,80,34.8630137,40,33.41324201,40,1.449771689,2,6.091891892,7,9.453551913,10,5.303278689,3,41.03225806,45
12.6,78.6,16.281796,15,516,510,73.714584,75,509.6608,510,8.732876712,10,79.04849039,80,35.69634703,40,34.6803653,40,1.015981735,2,5.34965035,3,9.416893733,10,5.301500682,3,55.51388889,45
12.6,78.72,9.717135,15,512.1143,510,61.617664,75,508.31305,510,7.52283105,10,78.73313515,80,35.94748858,40,35.11415525,40,0.833333333,2,5.883928571,3,9.333333333,10,5.303401361,3,71.68141593,75
12.6,78.84,12.324622,15,507,510,70.07318,75,506.01254,510,8.984018265,10,78.17723838,80,35.93607306,40,34.69178082,40,1.244292237,2,7.640776699,7,9.330601093,10,5.364754098,3,76.65384615,75
12.6,78.96,16.428143,15,503.375,510,84.852875,75,505.59518,510,10.86757991,20,78.63365429,80,36.02739726,40,34.46347032,40,1.563926941,2,9.425742574,10,9.397260274,10,5.351573187,3,76.53921569,75
12.6,79.08,20.237339,15,491,510,81.84024,75,498.43805,510,11.13013699,20,78.56979143,80,35.81050228,40,34.12100457,40,1.689497717,2,6.018518519,7,9.366120219,10,5.346994536,3,47.75460123,45
12.6,79.2,24.808126,15,487,510,71.084015,75,493.3722,510,8.219178082,10,78.42732691,80,35.84474886,40,34.40639269,40,1.438356164,2,3.302752294,3,9.432506887,10,5.374485597,3,36.70776256,45
12.6,79.32,33.08922,45,492,510,76.3262,75,492.89615,510,8.45890411,10,78.46012832,80,35.21689498,40,33.67579909,40,1.54109589,2,3.153191489,3,9.409340659,10,5.365753425,3,33.97457627,45
12.6,79.44,42.703163,45,494.2275,510,89.43225,75,494.28543,510,10.69634703,20,78.59432234,80,34.5890411,40,32.73972603,40,1.849315068,2,3.394927536,3,9.306233062,10,5.317006803,3,28.23826715,15
12.6,79.56,52.395947,45,488.86517,510,98.37366,105,493.16165,510,12.10045662,20,78.43271647,80,34.15525114,40,32.00913242,40,2.146118721,2,3.533333333,3,9.303523035,10,5.318367347,3,25.57807309,15
12.6,79.68,57.3979,45,492.95035,510,101.52801,105,491.70297,510,12.42009132,20,78.79133409,80,33.21917808,40,31.48401826,40,1.735159817,2,3.487179487,3,9.442622951,10,5.308743169,3,24.50798722,15
12.6,79.8,61.98684,75,493.97516,510,102.73652,105,491.72836,510,11.80365297,20,78.82780554,80,32.43150685,40,31.41552511,40,1.015981735,2,3.368078176,3,9.506849315,10,5.296853625,3,25.08116883,15
12.6,79.92,67.94914,75,500.625,510,107.48501,105,490.8687,510,11.98630137,20,78.72050817,80,32.0890411,40,31.30136986,40,0.787671233,2,3.671328671,3,9.486338798,10,5.286885246,3,26.86062718,15
12.6,80.04,81.33682,75,499,510,122.96209,135,491.068,510,14.16666667,20,78.68629672,80,32.26027397,40,31.34703196,40,0.913242009,2,4.25,3,9.445652174,10,5.267029973,3,25.65870307,15
12.6,80.16,110.251236,105,503.5,510,164.65036,165,493.70535,510,22.60273973,30,78.36310197,80,33.01369863,40,31.06164384,40,1.952054795,2,6.018237082,7,9.423913043,10,5.277929155,3,20.54242424,15
12.6,92.76,118.25685,105,476.625,450,252.49898,255,472.62808,450,35.82191781,40,78.36715867,80,28.80136986,30,24.65753425,30,4.143835616,5,25.104,25,9.214092141,10,5.363265306,3,44.61111111,45
12.6,92.88,116.131424,105,475.3531,450,249.35648,255,471.91284,450,35.61643836,40,78.29797048,80,28.90410959,30,24.73744292,30,4.166666667,5,23.81679389,22,9.13172043,10,5.345528455,3,42.71969697,45
12.72,74.88,53.37934,45,522.5,510,90.706245,105,503.6655,510,9.006849315,10,80.10543204,90,33.23059361,40,32.64840183,40,0.582191781,2,4.560693642,3,9.448648649,10,5.225543478,3,45.8045977,45
12.72,75,28.49824,15,511.0072,510,66.77732,75,491.9552,510,6.506849315,10,79.85331194,80,33.43607306,40,33.36757991,40,0.068493151,2,3.413173653,3,9.493188011,10,5.263301501,3,48.74404762,45
